nVert,nFace,totSurface,Vol,planarity,mediaVX,mediaVY,mediaVZ,varVX,varVY,varVZ,mediaNX,mediaNY,mediaNZ,varNX,varNY,varNZ,eigv1,eigv2,eigv3,x1,y1,z1,x2,y2,z2,x3,y3,z3,XN_YN_ZN_x,XN_YN_ZN_y,XN_YN_ZN_z,XN_YN_ZP_x,XN_YN_ZP_y,XN_YN_ZP_z,XN_YP_ZN_x,XN_YP_ZN_y,XN_YP_ZN_z,XN_YP_ZP_x,XN_YP_ZP_y,XN_YP_ZP_z,XP_YN_ZN_x,XP_YN_ZN_y,XP_YN_ZN_z,XP_YN_ZP_x,XP_YN_ZP_y,XP_YN_ZP_z,XP_YP_ZN_x,XP_YP_ZN_y,XP_YP_ZN_z,XP_YP_ZP_x,XP_YP_ZP_y,XP_YP_ZP_z,objType
174,253,0.151,0.001,0.804,-0.513,-0.001,0.273,0.122,0.049,0.133,0.073,0.215,0.601,0.385,0.506,0.427,4.939,4.453,2.789,0.685,-0.693,0.226,0.664,0.721,0.2,-0.301,0.013,0.953,0.432,0.796,0.407,0.418,0.413,0.617,0.378,0.818,0.164,0.299,0.677,0.51,0.701,0.443,0.26,0.288,0.234,0.847,0.442,0.6,0.377,0.247,0.324,0.787,sand
265,398,0.123,0.001,0.324,-0.084,0.054,0.35,0.106,0.097,0.072,0.279,-0.027,0.244,0.502,0.571,0.532,5.706,5.607,2.382,0.672,0.173,0.72,-0.74,0.206,0.641,-0.037,-0.963,0.266,0.646,0.397,0.447,0.467,0.429,0.606,0.301,0.644,0.44,0.392,0.394,0.683,0.749,0.366,0.338,0.375,0.646,0.448,0.645,0.448,0.386,0.458,0.418,0.624,sand
92,133,0.041,0.0,0.462,0.155,0.029,0.262,0.045,0.078,0.05,-0.052,0.096,0.352,0.578,0.526,0.504,0.833,0.786,0.319,0.924,-0.36,-0.131,0.264,0.349,0.899,-0.278,-0.865,0.417,0.662,0.42,0.442,0.413,0.373,0.712,0.549,0.682,0.19,0.558,0.344,0.574,0.503,0.124,0.756,0.421,0.445,0.618,0.516,0.653,0.344,0.531,0.469,0.54,silt
113,144,0.056,0.0,0.681,0.371,-0.051,0.317,0.079,0.057,0.057,0.082,0.213,0.465,0.414,0.625,0.412,1.004,1.216,0.659,0.639,0.026,-0.768,0.426,0.82,0.382,0.64,-0.571,0.513,0.412,0.598,0.687,0.418,0.408,0.615,0.193,0.824,0.321,0.297,0.654,0.501,0.544,0.767,0.035,0.392,0.538,0.567,0.362,0.785,0.325,0.348,0.513,0.614,silt
320,448,0.163,0.001,0.244,0.757,-0.028,0.301,0.124,0.102,0.081,0.162,0.181,0.276,0.415,0.646,0.525,8.333,6.396,6.001,0.565,0.615,-0.549,-0.342,0.781,0.523,0.751,-0.107,0.652,0.372,0.721,0.363,0.339,0.68,0.429,0.261,0.78,0.343,0.245,0.723,0.472,0.445,0.424,0.59,0.38,0.399,0.673,0.494,0.545,0.404,0.38,0.577,0.501,granule
181,278,0.156,0.0,0.809,0.596,-0.084,0.043,0.125,0.025,0.141,0.201,-0.113,0.588,0.379,0.523,0.429,3.823,6.312,2.914,0.975,-0.187,-0.116,0.194,0.98,0.052,0.104,-0.074,0.992,0.392,0.674,0.328,0.355,0.622,0.521,0.217,0.753,0.438,0.315,0.504,0.609,0.579,0.62,0.208,0.353,0.339,0.719,0.214,0.879,0.337,0.369,0.249,0.783,sand
126,181,0.058,0.0,0.502,1.081,0.018,0.254,0.059,0.094,0.06,-0.141,0.133,0.441,0.515,0.587,0.398,1.771,1.766,0.481,0.911,0.172,-0.374,0.234,0.529,0.815,0.338,-0.831,0.442,0.537,0.756,0.139,0.437,0.631,0.387,0.571,0.687,0.164,0.649,0.384,0.449,0.318,0.796,0.334,0.38,0.38,0.632,0.408,0.741,0.323,0.251,0.498,0.731,silt
122,168,0.059,0.0,0.91,1.016,-0.054,0.107,0.105,0.033,0.059,0.157,-0.018,0.535,0.4,0.573,0.448,1.821,1.406,0.594,0.151,-0.233,0.961,0.961,0.261,-0.088,-0.23,0.937,0.263,0.184,0.864,0.338,0.24,0.594,0.575,0.366,0.421,0.661,0.453,0.691,0.373,0.477,0.731,0.148,0.361,0.372,0.645,0.639,0.509,0.332,0.32,0.341,0.774,silt
144,217,0.09,0.0,0.626,0.311,-0.088,0.099,0.098,0.036,0.085,0.13,-0.098,0.449,0.529,0.545,0.441,2.262,1.943,1.032,0.435,-0.433,0.789,0.665,0.746,0.043,-0.607,0.506,0.613,0.3,0.748,0.293,0.321,0.563,0.542,0.612,0.352,0.495,0.52,0.449,0.484,0.366,0.78,0.359,0.489,0.429,0.525,0.515,0.464,0.472,0.405,0.367,0.662,silt
151,208,0.076,0.0,0.432,-0.057,-0.026,0.203,0.08,0.075,0.068,-0.034,0.154,0.383,0.527,0.597,0.442,1.92,2.134,0.985,0.795,-0.178,0.579,-0.251,0.774,0.582,-0.552,-0.608,0.571,0.0,0.0,0.0,0.568,0.529,0.447,0.441,0.655,0.348,0.388,0.616,0.483,0.635,0.596,0.274,0.453,0.491,0.55,0.48,0.481,0.51,0.428,0.435,0.642,silt
